Month,Crime_count
01-2000,56959
02-2000,54438
03-2000,62828
04-2000,63523
05-2000,69954
06-2000,83005
07-2000,71762
08-2000,68631
09-2000,65110
10-2000,64112
11-2000,54839
12-2000,143636
01-2001,56365
02-2001,50725
03-2001,61147
04-2001,64005
05-2001,67656
06-2001,83209
07-2001,71706
08-2001,67698
09-2001,66561
10-2001,65279
11-2001,58009
12-2001,144996
01-2002,56040
02-2002,50238
03-2002,60055
04-2002,62861
05-2002,67037
06-2002,83422
07-2002,68105
08-2002,67019
09-2002,76427
10-2002,59297
11-2002,51923
12-2002,148591
01-2003,51237
02-2003,43717
03-2003,64469
04-2003,57878
05-2003,62623
06-2003,84138
07-2003,64425
08-2003,64059
09-2003,68050
10-2003,58999
11-2003,51912
12-2003,143328
01-2004,51090
02-2004,48101
03-2004,65367
04-2004,58315
05-2004,64529
06-2004,85915
07-2004,64055
08-2004,62170
09-2004,67115
10-2004,58152
11-2004,51065
12-2004,143619
01-2005,52361
02-2005,46265
03-2005,62208
04-2005,59212
05-2005,64205
06-2005,87869
07-2005,67248
08-2005,63786
09-2005,68982
10-2005,59443
11-2005,52082
12-2005,140899
01-2006,57158
02-2006,48833
03-2006,64922
04-2006,62255
05-2006,66570
06-2006,90110
07-2006,70289
08-2006,65032
09-2006,68790
10-2006,60186
11-2006,52892
12-2006,142331
01-2007,52434
02-2007,47229
03-2007,68500
04-2007,59908
05-2007,67809
06-2007,92129
07-2007,67762
08-2007,65158
09-2007,70941
10-2007,60385
11-2007,52510
12-2007,140605
01-2008,52354
02-2008,48034
03-2008,64529
04-2008,58888
05-2008,64320
06-2008,88018
07-2008,66828
08-2008,65076
09-2008,68907
10-2008,58974
11-2008,52917
12-2008,136267
01-2009,51029
02-2009,46395
03-2009,63391
04-2009,57842
05-2009,64026
06-2009,84098
07-2009,63084
08-2009,62508
09-2009,65277
10-2009,54740
11-2009,50625
12-2009,130900
01-2010,50205
02-2010,43069
03-2010,62129
04-2010,57581
05-2010,62166
06-2010,82004
07-2010,61593
08-2010,60739
09-2010,64493
10-2010,56593
11-2010,48341
12-2010,120597
01-2011,47922
02-2011,41933
03-2011,59990
04-2011,55278
05-2011,59506
06-2011,88802
07-2011,62430
08-2011,58859
09-2011,63331
10-2011,54129
11-2011,48013
12-2011,102031
01-2012,49452
02-2012,44294
03-2012,62946
04-2012,54967
05-2012,60312
06-2012,75231
07-2012,62096
08-2012,60067
09-2012,65656
10-2012,52447
11-2012,47737
12-2012,117053
01-2013,50627
02-2013,43565
03-2013,52481
04-2013,54790
05-2013,61178
06-2013,71348
07-2013,61478
08-2013,60719
09-2013,56620
10-2013,52991
11-2013,48729
12-2013,98954
01-2014,47913
02-2014,42948
03-2014,53328
04-2014,55517
05-2014,61379
06-2014,69137
07-2014,61283
08-2014,61449
09-2014,56664
10-2014,55493
11-2014,49877
12-2014,103869
01-2015,50870
02-2015,43659
03-2015,55244
04-2015,56005
05-2015,63594
06-2015,69750
07-2015,64989
08-2015,65125
09-2015,60588
10-2015,58521
11-2015,52752
12-2015,107947
01-2016,55640
02-2016,50401
03-2016,60425
04-2016,60573
05-2016,66618
06-2016,73897
07-2016,68152
08-2016,65534
09-2016,62964
10-2016,62712
11-2016,56119
12-2016,106122
01-2017,58073
02-2017,51254
03-2017,58709
04-2017,62424
05-2017,67315
06-2017,66177
07-2017,69441
08-2017,65753
09-2017,63397
10-2017,62862
11-2017,56631
12-2017,113147
01-2018,55772
02-2018,51051
03-2018,59019
04-2018,60992
05-2018,69508
06-2018,66214
07-2018,68697
08-2018,67114
09-2018,64378
10-2018,62314
11-2018,54925
12-2018,117307
01-2019,55526
02-2019,49461
03-2019,58477
04-2019,62103
05-2019,68549
06-2019,67458
07-2019,67780
08-2019,66603
09-2019,63964
10-2019,59727
11-2019,55717
12-2019,115991
01-2020,58196
02-2020,53116
03-2020,61081
04-2020,59584
05-2020,74083
06-2020,77950
07-2020,80966
08-2020,80659
09-2020,72200
10-2020,73516
11-2020,65925
12-2020,127434
01-2021,48749
02-2021,42406
03-2021,49863
04-2021,54054
05-2021,61575
06-2021,60152
07-2021,63400
08-2021,60425
09-2021,57103
10-2021,59086
11-2021,51697
12-2021,53455
01-2022,64095
02-2022,60141
03-2022,72086
04-2022,73313
05-2022,80809
06-2022,77684
07-2022,81507
08-2022,77347
09-2022,74707
10-2022,74034
11-2022,65096
12-2022,85561
01-2023,70396
02-2023,60280
03-2023,68869
04-2023,72984
05-2023,79424
06-2023,75776
07-2023,80138
08-2023,75862
09-2023,73192
10-2023,76300
11-2023,65080
12-2023,76726
01-2024,62287
02-2024,61327
03-2024,68533
04-2024,70592
05-2024,78853
06-2024,77264
07-2024,77403
08-2024,74497
09-2024,72858
10-2024,70409
11-2024,62766
12-2024,69904
01-2025,54641
02-2025,49872
03-2025,60266
04-2025,61072
05-2025,64548
06-2025,63112
07-2025,63738
08-2025,58108
09-2025,45583
10-2025,28797
11-2025,2693
